"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Complexity Dimensions Identified","Scoring and Decision Approach","Results","Findings"
"Validation of the Ontario Protocol Assessment Level (OPAL) Tool for Assessing Clinical Trial Complexity and Supporting Workforce Planning in the Italian Clinical …","https://link.springer.com/article/10.1007/s43441-026-01006-x","","","","D Napolitano
M Bozzetti
R Caruso
M Guberti","","https://link.springer.com/content/pdf/10.1007/s43441-026-01006-x.pdf","No","","dI-O3MOsf5AJ","","","","","","","","","Google Scholar","- **Relevance Score:** 95/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Validates OPAL tool to quantify trial complexity, directly supporting feasibility analysis and staffing decisions; links complexity scores to site‑selection and workload planning.","","The metadata indicates the paper validates the Ontario Protocol Assessment Level (OPAL) Tool for assessing clinical trial complexity. This tool is used to consistently measure clinical trial workload, informing decisions related to staffing, budgeting, feasibility assessment, and risk. It links complexity scores to site-selection and workload planning, but specific dimensions or categories of complexity are not detailed.","The paper validates the Ontario Protocol Assessment Level (OPAL) Tool for assessing clinical trial complexity. This tool helps quantify trial complexity to support feasibility analysis and staffing decisions. It directly links complexity scores to site-selection and workload planning. Specific details on the scoring method (e.g., numeric scale, weighted scoring, categorical levels) or explicit decision thresholds (e.g., go/no-go) are not specified.","Not available in metadata.","* Validates OPAL tool to quantify trial complexity. * Directly supports feasibility analysis and staffing decisions. * Links complexity scores to site-selection and workload planning."
"Systematic Evaluation of Clinical Research Studies for Enhanced Strategic Decision-Making","https://search.proquest.com/openview/de92f454a73502eb4057f63de4cdc10f/1?pq-origsite=gscholar&cbl=18750&diss=y","","","","K Haigh","","","No","","a-XP-GtcyeAJ","","","","","","","","","Google Scholar","- **Relevance Score:** 75/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses a specialized NTRC protocol complexity assessment and feasibility worksheet to directly inform trial feasibility analysis and site‑selection decisions.","","The paper mentions using a specialized NTRC protocol complexity assessment and a Nationwide Children’s feasibility worksheet. These tools are applied to inform trial feasibility analysis and site-selection decisions. The assessment focuses on protocol complexity. Specific dimensions or categories beyond ""protocol complexity"" are not explicitly detailed in the metadata.","The paper mentions a specialized NTRC protocol complexity assessment and a feasibility worksheet. These tools directly inform trial feasibility analysis and site-selection decisions. However, the specific scoring or rating methodology (e.g., numeric scale, weighted scoring, categorical levels) and any explicit decision thresholds or classification schemes (e.g., go/no-go, fit/unfit) are not specified in the metadata.","Not available in metadata.","Not available in metadata."
"Development of a protocol complexity tool: a framework designed to stimulate discussion and simplify study design","https://scispace.com/papers/development-of-a-protocol-complexity-tool-a-framework-glo1wfxeyt2e","2025","Journal Article","BMC Medical Research Methodology","Bartholomeus J.A. Willigers
Agata E Wiesiolek
Bruce Potter
Alina Pszczółkowska
Cecilia Kristensson
Veronica Presz
Gabriela Luporini Saraiva
Ioannis Psallidas","10.1186/s12874-025-02652-9","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 74/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses a 26‑question Protocol Complexity Tool to quantify trial complexity and shows strong correlation with site activation and enrolment timelines, informing feasibility discussions but stopping short of a dedicated site‑selection decision model.","Over the last decade, the pharmaceutical industry has witnessed longer, more complex, and expensive clinical trials. This complexity contributes to delays in clinical trial implementation, execution, monitoring, recruitment, data cleaning, and interpretation. Our aim was to develop a protocol complexity tool (PCT) to simplify clinical trial execution without compromising science or quality. Using a collaborative design process, a taskforce comprising 20 cross-functional experts in clinical trial design and execution developed a PCT, between June 2021 and December 2022 and comprising 26 questions across 5 domains (operational execution, regulatory oversight, patient burden, site burden and study design). Individual domain scores and total complexity score (TCS) were calculated, and agreed by consensus, for 16 pre-identified phase II-IV difficult clinical trials across 3 therapeutic areas. Change in score was assessed post-PCT pass through. The relationship between TCS and key trial indicators (i.e. time-to-site activation and participant enrolment) was assessed for 26 studies by correlation analysis. Post-PCT pass through, the TCS was reduced in 12 trials (75%), remained the same in 3 trials (18.8%) and increased in 1 trial (6.2%). Complexity was most notably decreased in the operational execution and site burden domains, decreasing in 50% and 43.8% of assessed trials, respectively. Time-to-site activation and participant enrolment positively correlated with TCS, reaching statistical significance at 75% site activation (rho = 0.61; p = 0.005; n = 19) and 25% participant recruitment (rho = 0.59; p = 0.012; n = 17). We have developed a Protocol Complexity Tool to objectively measure the complexity of a study protocol consistently and transparently. The PCT is capable of driving simplification, enhancing collaboration, and creating additional confidence in trial designs. In the future, we envision the tool will support earlier discussions to develop protocols that are simpler to execute and more cost-effective.","The Protocol Complexity Tool (PCT) developed in the study comprises 26 questions across 5 domains: operational execution, regulatory oversight, patient burden, site burden, and study design. These domains were used to objectively measure the complexity of a study protocol.","Individual domain scores and a total complexity score (TCS) were calculated. Post-PCT pass through, the TCS was reduced in 75% of trials. Time-to-site activation and participant enrolment positively correlated with TCS, reaching statistical significance at 75% site activation and 25% participant recruitment. The metadata does not specify go/no-go decisions, specific numeric scales, weighted scoring, categorical levels, or explicit decision thresholds/cutoffs. Not specified.","* The Total Complexity Score (TCS) was reduced in 12 trials (75%), remained the same in 3 trials (18.8%), and increased in 1 trial (6.2%) post-PCT pass through. * Complexity decreased most notably in the operational execution (50% of trials) and site burden (43.8% of trials) domains. * Time-to-site activation and participant enrolment positively correlated with TCS, reaching statistical significance at 75% site activation (rho = 0.61; p = 0.005; n = 19) and 25% participant recruitment (rho = 0.59; p = 0.012; n = 17).","* A Protocol Complexity Tool (PCT) was developed to objectively measure protocol complexity. * The PCT reduced the total complexity score in 12 out of 16 trials (75%) post-pass through. * Complexity decreased most notably in operational execution (50% of trials) and site burden (43.8% of trials) domains. * Total complexity score positively correlated with time-to-site activation (rho = 0.61; p = 0.005; n = 19) and participant enrolment (rho = 0.59; p = 0.012; n = 17)."
"Evaluating follow-up and complexity in cancer clinical trials (EFACCT): an eDelphi study of research professionals' perspectives","https://bmjopen.bmj.com/content/10/2/e034269.abstract","2020","Journal Article","BMJ Open","Helene Markham Jones
Ffion Curtis
Ffion Curtis
Graham A. Law
Christopher Bridle
Dorothy Boyle
Tanweer Ahmed","10.1136/BMJOPEN-2019-034269","https://bmjopen.bmj.com/content/bmjopen/10/2/e034269.full.pdf","Yes","9","4FzhreegPScJ","","","","","","","","","SciSpace","- **Relevance Score:** 74/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Develops TRACAT tool and 14 trial rating indicators to assess complexity; core focus on defining and measuring trial complexity; mentions operational priorities but stops short of concrete feasibility or site‑selection decision guidance.","Objectives To evaluate patient follow-up and complexity in cancer clinical trial delivery, using consensus methods to: (1) identify research professionals’ priorities, (2) understand localised challenges, (3) define study complexity and workloads supporting the development of a trial rating and complexity assessment tool (TRACAT). Design A classic eDelphi completed in three rounds, conducted as the launch study to a multiphase national project (evaluating follow-up and complexity in cancer clinical trials). Setting Multicentre online survey involving professionals at National Health Service secondary care hospital sites in Scotland and England varied in scale, geographical location and patient populations. Participants Principal investigators at 13 hospitals across nine clinical research networks recruited 33 participants using pre-defined eligibility criteria to form a multidisciplinary panel. Main outcome measures Statements achieving a consensus level of 70% on a 7-point Likert-type scale and ranked trial rating indicators (TRIs) developed by research professionals. Results The panel developed 75 consensus statements illustrating factors contributing to complexity, follow-up intensity and operational performance in trial delivery, and specified 14 ranked TRIs. Seven open questions in the first qualitative round generated 531 individual statements. Iterative survey rounds returned rates of 82%, 82% and 93%. Conclusions Clinical trials operate within a dynamic, complex healthcare and innovation system where rapid scientific advances present opportunities and challenges for delivery organisations and professionals. Panellists highlighted cultural and organisational factors limiting the profession’s potential to support growing trial complexity and patient follow-up. Enhanced communication, interoperability, funding and capacity have emerged as key priorities. Future operational models should test dialectic Singerian-based approaches respecting open dialogue and shared values. Research capacity building should prioritise innovative, collaborative approaches embedding validated review and evaluation models to understand changing operational needs and challenges. TRACAT provides a mechanism for continual knowledge assimilation to improve decision-making.","The paper describes 75 consensus statements illustrating factors contributing to complexity, follow-up intensity, and operational performance in trial delivery. It also specified 14 ranked Trial Rating Indicators (TRIs). The study supported the development of a trial rating and complexity assessment tool (TRACAT), which provides a mechanism for continual knowledge assimilation. Specific named dimensions like ""protocol design"" or ""regulatory requirements"" are not explicitly listed as categories.","The study aimed to define study complexity and workloads to support the development of a trial rating and complexity assessment tool (TRACAT). It involved developing 75 consensus statements and specifying 14 ranked trial rating indicators (TRIs). The metadata does not specify how complexity is numerically scored, rated, or how these scores inform go/no-go or feasibility decisions, nor does it mention decision thresholds or classification schemes.","* The panel developed 75 consensus statements illustrating factors contributing to complexity, follow-up intensity, and operational performance in trial delivery. * 14 ranked Trial Rating Indicators (TRIs) were specified. * Seven open questions in the first qualitative round generated 531 individual statements. * Iterative survey rounds returned rates of 82%, 82%, and 93%.","* The panel developed 75 consensus statements illustrating factors contributing to complexity, follow-up intensity, and operational performance in trial delivery. * 14 ranked trial rating indicators (TRIs) were specified. * Seven open questions in the first qualitative round generated 531 individual statements. * Iterative survey rounds returned rates of 82%, 82%, and 93%."
"Ontario Protocol Assessment Level: Clinical Trial Complexity Rating Tool for Workload Planning in Oncology Clinical Trials","https://scispace.com/papers/ontario-protocol-assessment-level-clinical-trial-complexity-1txwv4c4zp","2011","Journal Article","Journal of Oncology Practice","Bobbi Smuck
Phyllis Bettello
Koralee Berghout
Tracie Hanna
Brenda Kowaleski
Lynda Phippard
Diana Au
Kay Friel","10.1200/JOP.2010.000051","https://scispace.com/pdf/ontario-protocol-assessment-level-clinical-trial-complexity-1txwv4c4zp.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 70/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses a rating tool to quantify oncology trial workload, directly addressing complexity metrics and supporting planning; links to feasibility via workload estimates but stops short of a full site‑selection decision framework.","Purpose: The Ontario Institute for Cancer Research supported the creation of a working group with the objective of developing a standard rating scale to evaluate clinical trial complexityandapplyingthescaletofacilitateworkloadmeasurement for Ontario cancer research sites. Methods: The lack of a mechanism to measure the workload involved in a clinical trials protocol was identified and confirmed by a literature review. To collect information on how Ontario sites were assessing workload, a survey was distributed and evaluated. As a result, the working group developed the Ontario Protocol Assessment Level (OPAL), a protocol complexity rating scale designed to capture the workload involved in a clinical trial. After a training workshop on the application, OPAL was evaluated by 17 Ontario cancer centers to demonstrate its reliability and consistency during a 3-month pilot study. Results: Twenty-seven protocols were reviewed by multiple sites, and the majority of the sites reported OPAL score differences between 0 and 1.5. Conclusion: OPAL provides clinical trials departments with an objective method of quantifying clinical trials activity on the basis of study protocol complexity. With consistent application of OPAL, sites can manage staffing objectively. The working group is continuing to monitor the application of OPAL in Ontario.","The Ontario Protocol Assessment Level (OPAL) framework assesses clinical trial complexity using a pyramid rating scale. This scale progresses from less complex, nontreatment trials (levels 1 and 2) to complex phase I intervention trials (level 8). Complexity is also influenced by incremental procedures unique to each trial, beyond core tasks. Optional elements can further adjust the score based on factors like inpatient requirements, monitoring, number of visits, and sponsor involvement.","The OPAL scale ranks complexity from levels 1 through 8, with optional elements adding 0.5 increments for a maximum score of 10. The score indicates incremental increases in trial complexity. This score, combined with expected patient enrollment, helps managers estimate workload. It informs decisions on assigning studies based on trial requirements and available workload capacity, and can support staffing adjustments.","* One hundred seventy-six OPAL assessment ratings for new clinical trial protocols were received from 17 participating cancer clinical trials sites in Ontario. * Twenty-seven of these protocols were reviewed by more than one site. * Analysis showed that a variance of up to 1.5 in OPAL scores was acceptable. * Two trials had a variance of 3.5, which was determined to be due to a misinterpretation of the definition of special procedures. * OPAL needs consistent application based on local practices to produce measurable site workload information. * After the pilot study, OPAL was revised to more accurately reflect reported activity, and educational updates were provided via webinars.","* Twenty-seven protocols were reviewed by multiple sites. * The majority of sites reported OPAL score differences between 0 and 1.5. * OPAL provides an objective method for quantifying clinical trials activity based on study protocol complexity. * Consistent application of OPAL allows sites to manage staffing objectively. Page 2, ""Results"" section: * 176 OPAL assessment ratings for new clinical trial protocols were received from 17 participating cancer clinical trials sites in Ontario. * 27 protocols were reviewed by more than one site. * Analysis showed that an OPAL score variance of up to 1.5 was acceptable. * Two trials had a variance of 3.5 due to misinterpretation of ""special procedures"" definition. * OPAL needs consistent application based on local practices to produce measurable site workload information. * OPAL was revised after the pilot study to more accurately reflect reported activity."
"Selecting and Preparing Clinical Sites for the Successful Conduct of Decentralized Clinical Trial Activities–Findings From the Trials@Home <scp>RADIAL</scp> Proof‐of‐Concept Trial","https://scispace.com/papers/selecting-and-preparing-clinical-sites-for-the-successful-haatmkxbj92h","2025","Journal Article","Clinical Pharmacology & Therapeutics","Katarzyna Lipinska
Danny van Weelij
Bart Lagerwaard
Linda Rutgrink
Eduard Vardianu
Petra Naster
Lina Pérez Breva
Paul Bodfish
Megan Heath
Yvonne van Rijswick
Diederick E Grobbee
Mira G. P. Zuidgeest
Katarzyna Lipinska
Danny van Weelij
Bart Lagerwaard
Linda Rutgrink
Eduard Vardianu
Petra Naster
Lina Pérez Breva
Paul Bodfish
Megan Heath
Yvonne van Rijswick
Diederick E Grobbee
Mira G. P. Zuidgeest","10.1002/cpt.70075","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 60/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses detailed feasibility assessments (operational capability, tech readiness) to evaluate sites, directly informing feasibility and site‑selection decisions. Discusses complexity factors but stops short of a formal, reusable assessment framework.","Decentralized clinical trials (DCTs) offer opportunities to improve trial accessibility, participant convenience, and efficiency, yet may pose significant operational challenges for clinical trial sites. This paper presents the operational insights gained from selecting, training, and supporting clinical sites within the RADIAL proof‐of‐concept trial, part of the Trials@Home project. RADIAL was a multicenter, low‐intervention phase IV trial comparing conventional, hybrid, and fully decentralized approaches for individuals with type 2 diabetes mellitus across six European countries. Site selection involved detailed feasibility assessments evaluating operational capabilities, recruitment potential, technological readiness, and willingness to implement decentralized elements. Despite proactive training, including ongoing support via a centralized helpdesk, sites faced initial difficulties with technology management and participant onboarding. Contractual complexities were prominent, particularly regarding clearly delineating responsibilities and data handling in agreements involving third‐party providers. Moreover, integrating third‐party services necessitated meticulous oversight strategies and continuous stakeholder coordination to ensure regulatory compliance and efficient trial management. Our experiences underscore essential considerations for future DCT implementations: proactive stakeholder alignment; tailored, timely, and ongoing training and support; intuitive technology design informed by clinical user input; robust, centralized oversight structures; and clearly defined delegation frameworks for third‐party engagements. Addressing these operational considerations will facilitate smoother transitions toward decentralized clinical research models, maximizing their potential benefits while managing associated complexities effectively—especially for clinical site staff.","Feasibility assessments evaluated operational capabilities, recruitment potential, technological readiness, and willingness to implement decentralized elements. The paper also noted contractual complexities, particularly regarding responsibility delineation and data handling, and challenges with technology management and participant onboarding. Integrating third-party services necessitated meticulous oversight and coordination.","The metadata states that site selection involved detailed feasibility assessments evaluating operational capabilities, recruitment potential, technological readiness, and willingness to implement decentralized elements. However, it does not specify how complexity is numerically scored or rated, nor does it mention specific decision thresholds, cutoffs, or classification schemes (e.g., fit/unfit, low/medium/high complexity). Therefore, the scoring and decision approach details are not specified.","* The paper presents operational insights gained from selecting, training, and supporting clinical sites within the RADIAL proof-of-concept trial. * Sites faced initial difficulties with technology management and participant onboarding despite proactive training and a centralized helpdesk. * Contractual complexities were prominent, especially regarding responsibility delineation and data handling with third-party providers. * Integrating third-party services required meticulous oversight and continuous stakeholder coordination for regulatory compliance and efficient management.","* Operational insights from the RADIAL proof-of-concept trial are presented. * Challenges were highlighted in selecting, training, and supporting clinical sites for decentralized clinical trials (DCTs). * Recommendations are provided for future DCT implementations to ensure smoother transitions and effective management."
"How Many Cs in NICU","https://scispace.com/papers/how-many-cs-in-nicu-gji9ws6iid","2013","Dissertation","","Lynn Sinclair","","https://scispace.com/pdf/how-many-cs-in-nicu-gji9ws6iid.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 55/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses detailed discussion of trial complexity and feasibility challenges to illustrate barriers, but does not present a formal assessment framework; highlights complexity factors and feasibility implications for site selection.","","The complexity dimensions identified for assessing clinical trial feasibility include: - **Sample size calculation** - **Data analysis** - **Ethical dilemmas** (including informed consent, differing HREC views, and patient exclusion criteria) - **Logistical challenges** - **Investment** (time, money, people) - **Confounding variables** - **Practice environment** (contextual, social, individual factors, clinician opinion, beliefs, and preferences) - **Interpersonal relationships**","Not addressed in this paper.","* **Systematic Review Results (Chapter 3):** * Four studies enrolling 742 infants were included. * One study compared low-level versus moderate-level humidity and found a statistically significant increase in transepidermal water loss (TEWL) on days 14 and 28 in the low-level group. * Three studies compared low-level versus high-level humidity. * Silverman (1957) found a significant decrease in mortality within the first 5 days of life in the high-level humidity group (typical RR 0.66, 95% CI 0.46, 0.94). * No significant difference in mortality by day 28 was found in Silverman (1957) or Silverman (1963). * No significant difference in incidence of intraventricular haemorrhage (IVH) or sepsis was found across studies. * Sapiegiene (2004) reported no significant difference in patent ductus arteriosus (PDA) or sepsis. * No studies reported on varying durations of humidification or outcomes beyond 28 days of life. * **Survey Results (Chapter 4):** * All 26 NICUs surveyed routinely used supplemental humidity for preterm infants. * The majority of centers (77%) had written protocols. * 88% commenced humidity at a high level (≥ 80% relative humidity). * Wide practice variation was found in gestational age parameters for humidity use, duration of use, timing of initiation, and weaning practices. * Perceived benefits included improved thermoregulation, skin integrity, fluid and electrolyte balance, and reduced TEWL. * Perceived risks included sepsis and hyperthermia. * Rainout/condensation was the most commonly reported complication (58%). * An overarching theme of ""uncertainty in the practice environment"" was identified, influenced by lack of robust evidence, inconsistencies in practice, challenging professional relationships, and workplace characteristics. * **Single-Centre Audit Results (Chapter 5):** * 211 infants were eligible for inclusion in the audit, comparing 109 infants who received humidity with 102 who did not. * The humidity group had lower gestational age, birth weight, and percentile for gestational age, making the groups non-comparable. * Infants in the humidity group had higher mean potassium levels on days four and five of life. * Infants who did not receive humidity experienced greater weight loss (p < 0.045) and increased fluid requirements on days three to seven. * The humidity group experienced more episodes of hypothermia on day three of life and a statistically significant increased risk of hyperthermia on day 1 (p < 0.001) and day 4 (p < 0.007). * The humidity group had a higher incidence of mortality (p < 0.020), PDA (p < 0.0001), CLD (p < 0.004), and gram-negative colonisation (p < 0.019). * No observed difference in culture-positive sepsis, IVH, or NEC between the two groups. * Logistic regression analysis indicated gestational age and, to a lesser extent, birth weight, not humidity use, were predictive of short-term health outcomes.","* **Systematic Review Findings:** * Insufficient evidence from clinical trials to guide optimal levels and duration of incubator humidity for preterm infants. (p. 71) * One early study found high-level humidity reduced mortality, but infants were hypothermic by today's standards. (p. 71) * No evidence from randomized controlled trials that humidification reduces fluid requirements, weight loss, or incidence of PDA, or increases risk of IVH, sepsis, or adverse neurodevelopmental outcomes. (p. 71) * One small study suggested moderate humidity over time might increase transepidermal water loss (TEWL) and delay epidermal barrier maturation. (p. 71) * No studies reported on varying durations of humidity or long-term outcomes. (p. 71) * Significant clinical and methodological heterogeneity meant no results were pooled in a meta-analysis. (p. 70) * **Survey Findings (Humidification Practices in Australia and New Zealand):** * All 26 surveyed NICUs routinely used supplemental humidity for preterm infants. (p. 104) * 88% of centers commenced humidity at a high level (≥ 80% relative humidity). (p. 100) * Wide practice variation existed in gestational age parameters, duration of use (3 to 77 days), timing of initiation, and weaning practices. (p. 100) * Perceived benefits included improved thermoregulation, skin integrity, fluid/electrolyte balance, and reduced TEWL. (p. 100) * Perceived risks included sepsis and hyperthermia. (p. 100) * Rainout/condensation was the most commonly reported complication (58% of centers). (p. 107) * Lack of robust research evidence contributed to uncertainty and variability in practice. (p. 109) * Individual clinician preferences, experiences, beliefs, and perceived benefits/risks significantly influenced decisions. (p. 108) * **Single-Centre Audit Findings:** * The audit revealed two non-comparable infant groups, limiting conclusions about humidity's effect on outcomes. (p. 141, 153) * Infants who received humidity were smaller and more preterm. (p. 141) * Statistically significant increase in fluid requirements on days 3-7 of life for infants not receiving humidity. (p. 144) * Infants in the humidity group had higher mean potassium levels on days 4 and 5. (p. 144) * Infants not receiving humidity experienced greater weight loss. (p. 144) * Infants in the humidity group experienced more episodes of hypothermia on day 3, and hyperthermia on days 1 and 4. (p. 145) * Humidity group showed a statistically significant increase in mortality, PDA, CLD, and gram-negative colonization. (p. 146) * No observed difference in culture-positive sepsis, IVH, or NEC between the two groups. (p. 146) * Gestational age and birth weight, not humidity use, were predictive of short-term health outcomes. (p. 147) * Wide variation in humidity levels and weaning practices, reflecting lack of clear evidence and variations in practice. (p. 149) * Individual clinicians' non-adherence to CPG recommendations and decisions not to use humidity were noted. (p. 150) * **Overall Thesis Findings:** * The importance of the practice environment/context on knowledge generation, utilization, and patient care. (p. 188) * The overarching influence of complex NICU contexts and the powerful effect individuals have on relationships in the practice environment, knowledge generation, and clinical practice. (p. 186) * The need for optimal levels and duration of humidification to be defined, and for future trials to be powered to detect clinically important differences in long-term neurodevelopmental and behavioral outcomes. (p. 131)"
"Site selection in community-based clinical trials for substance use disorders: strategies for effective site selection.","https://scispace.com/papers/site-selection-in-community-based-clinical-trials-for-4k413h756e","2011","Journal Article","American Journal of Drug and Alcohol Abuse","Jennifer Sharpe Potter
Dennis M. Donovan
Roger D. Weiss
John G. Gardin
Robert Lindblad
Paul Wakim
Dorian R. Dodd","10.3109/00952990.2011.596975","https://scispace.com/pdf/site-selection-in-community-based-clinical-trials-for-4k413h756e.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 55/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses systematic, data‑driven site‑selection process to improve feasibility decisions; discusses many trial‑site factors but stops short of a formal complexity‑assessment framework.","Background: The importance of conducting substance use disorder treatment research in real-world settings is now well recognized. While this approach to clinical trials research offers a variety of benefits, challenges also arise. Selecting high-quality sites to participate is critical to recruitment, retention, and overall trial performance when conducting multi-site, community-based clinical trials of treatments for substance use disorders. Objectives: Over the past 10 years, the National Institute on Drug Abuse-sponsored National Drug Abuse Treatment Clinical Trials Network (CTN) has strived to conduct high-quality, well-managed clinical trials. This includes developing methods for site selection to be used by investigators conducting CTN trials. Methods: We review site selection strategies from two community-based multi-site clinical trials conducted under the auspices of the National Drug Abuse Treatment Clinical Trials Network. Results: Issues relevant to site selection include the clinical trial de...","The paper identifies several considerations for successful site selection that reflect different dimensions of complexity: * **Clinical Trial Design:** Unique characteristics, complexity (e.g., adaptive, pharmacotherapy), specific populations, research capacities, specialized staff, and patient volume. * **Treatment Program Organizational Attributes:** Leadership/staff attributes (management style, research experience, staffing, morale), institutional support, organizational climate, and tangible resources. * **Availability of clinical population:** Ability to enroll desired participants, recruitment sources, and patient characteristics.","The STAGE-12 Executive Committee rated blinded potential sites independently on a priori determined criteria, returning ratings to a central Clinical Coordinating Center (CCC). The CCC collated results, provided summary scores, and a rank ordering of sites. A priori criteria included minimum client flow, intensive outpatient program hours, and group/individual sessions. Sites with the highest ratings overall and across dimensions were considered for the next phase. The paper does not specify a numeric scale, weighted scoring, or exact decision thresholds beyond ""highest ratings.""","* Issues relevant to site selection include clinical trial design, appropriate clinical population, and organizational attributes. * Site selection strategies include reviewing regional epidemiologic data, standard site selection surveys, evaluating clinic data, and site selection interviews/visits.","* Issues relevant to site selection include clinical trial design, availability of appropriate clinical population, and organizational attributes of potential clinical research sites. * Site selection strategies include reviewing regional epidemiologic data, collecting standard site selection surveys, evaluating clinic data on existing patient populations, and site selection interviews and visits. * The paper describes considerations for selecting research sites and identifies specific strategies for selecting community-based sites for clinical trial participation."
"Lessons in complexity learned during a Canadian virtual pragmatic trial for prostate cancer survivorship","https://www.tandfonline.com/doi/abs/10.1080/28352610.2025.2474592","2025","Journal Article","","Kaylen J. Pfisterer
Karen Young
R Lohani
Ting Xiong
Tiffane Anandarajan
Denise Ng
Tina Jiao
Caitlin Nunn
Denise Bryant-Lukosius
R. Rendon
Robert J. Hamilton
Jackie Bender
Ian Brown
Andrew Feifer
Geoffrey Gotto
Joseph A Cafazzo
Quynh Pham","10.1080/28352610.2025.2474592","https://www.tandfonline.com/doi/pdf/10.1080/28352610.2025.2474592","No","","DHhOCp2nYCEJ","","","","","","","","","Google Scholar","- **Relevance Score:** 55/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses NASSS‑CAT SHORT to evaluate trial complexity; provides detailed complexity insights but does not propose a new decision‑making framework, and only loosely ties findings to site feasibility.","","The paper used the NASSS complexity assessment tool (NASSS-CAT SHORT) to evaluate trial complexity. While the snippet mentions ease of use and high observations, specific dimensions or domains of the NASSS-CAT SHORT are not explicitly detailed in the provided metadata.","The paper uses the NASSS-CAT SHORT complexity assessment tool. While it provides detailed complexity insights, the metadata does not specify how complexity is scored (e.g., numeric scale, categorical levels) or how these scores directly inform go/no-go or feasibility decisions, nor does it mention specific decision thresholds or classification schemes. Not specified.","- Uses NASSS-CAT SHORT to evaluate trial complexity. - Observed ease of use and high relevance when using NASSS-CAT SHORT.","* Observed ease of use and high (unspecified metric) from pilot into the control arm of their Ned clinical trial. * Selected the NASSS complexity assessment tool (NASSS-CAT SHORT) for trial sites."
"Towards quantum computing for clinical trial design and optimization: A
  perspective on new opportunities and challenges","https://scispace.com/papers/towards-quantum-computing-for-clinical-trial-design-and-f5e2cucgyr","2024","Preprint","","Hakan Doga
Mehmet Şahin
Joao Bettencourt-Silva
Anh T. Pham
Eun Young Kim
Alan Andress
Shekhar Saxena
Aritra Bose
Laxmi Parida
Jan Lukas Robertus
Hideaki Kawaguchi
Ranin Soliman
Daniel Blankenberg","10.48550/arxiv.2404.13113","https://scispace.com/pdf/towards-quantum-computing-for-clinical-trial-design-and-f5e2cucgyr.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 55/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses quantum portfolio optimization to select trial sites, linking to feasibility decisions; mentions complexity challenges but lacks a formal assessment framework or detailed metrics.","Clinical trials are pivotal in the drug discovery process to determine the safety and efficacy of a drug candidate. The high failure rates of these trials are attributed to deficiencies in clinical model development and protocol design. Improvements in the clinical drug design process could therefore yield significant benefits for all stakeholders involved. This paper examines the current challenges faced in clinical trial design and optimization, reviews established classical computational approaches, and introduces quantum algorithms aimed at enhancing these processes. Specifically, the focus is on three critical aspects: clinical trial simulations, site selection, and cohort identification. This study aims to provide a comprehensive framework that leverages quantum computing to innovate and refine the efficiency and effectiveness of clinical trials.","The paper identifies several dimensions contributing to clinical trial complexity and feasibility: * **Clinical trial simulations**: Inadequate consideration of biophysical/physiological characteristics, optimal dosage, and mechanism of action. * **Site selection**: Study-specific infrastructure/resources, catchment area for patient recruitment, site-specific characteristics (e.g., quality electronic records, expert trialists), geographical considerations, patient access, and working culture. * **Cohort identification**: Inclusion/exclusion criteria, patient diversity (age, gender, ethnicity), genomic/epigenetic profiles, and data quality issues (e.g., missing modalities).","The paper mentions that site selection involves ranking sites based on features and assigned weighted scores, with tiers constructed from final rankings to make decisions. For quantum optimization, a trial quantum state is prepared, and a classical optimizer updates the state until a solution is recovered. For cohort identification, ML models classify, cluster, and predict suitable candidates. Specific scoring scales, thresholds, or categorical levels (e.g., low/medium/high complexity) are not explicitly detailed.","Not addressed in this paper.","* Clinical trials have high failure rates due to deficiencies in clinical model development and protocol design. * Quantum computational methods are proposed to improve clinical trial outcomes, focusing on clinical trial simulations, site selection, and cohort identification. * The paper establishes workflows with quantum optimization and quantum machine learning methods for these subproblems. * Quantum differential solvers can enhance understanding of drug mechanistic properties and optimize logistical steps for site and cohort selection. * Quantum generative models are proposed to improve cohort identification."
